smnno,first_month,amount,second_month,amount,third_month,amount 
SP0292,OCT,90300,NOV,90300,DEC,90300
SP0297,OCT,0,NOV,0,DEC,0
SP0299,OCT,53399,NOV,53399,DEC,53399
SP0304,OCT,96122,NOV,96122,DEC,96122
SP0306,OCT,4400,NOV,4400,DEC,4400
SP0307,OCT,16831,NOV,16831,DEC,16831
SP0308,OCT,83759,NOV,83759,DEC,83759
SP0309,OCT,41709,NOV,41709,DEC,41709
SP0312,OCT,30392,NOV,30392,DEC,30392
SP0313,OCT,10000,NOV,10000,DEC,10000
SP0316,OCT,5000,NOV,5000,DEC,5000
SP0318,OCT,30834,NOV,30834,DEC,30834
SP0321,OCT,10000,NOV,10000,DEC,10000
SP0323,OCT,0,NOV,0,DEC,0
SP0324,OCT,53741,NOV,53741,DEC,53741
SP0325,OCT,5000,NOV,5000,DEC,5000
SP0327,OCT,15625,NOV,15625,DEC,15625
SP0330,OCT,5000,NOV,5000,DEC,5000
SP0333,OCT,5000,NOV,5000,DEC,5000
SP0334,OCT,22500,NOV,22500,DEC,22500
SP0335,OCT,10000,NOV,10000,DEC,10000
SP0336,OCT,45000,NOV,45000,DEC,45000
SP0337,OCT,42667,NOV,42667,DEC,42667
SP0341,OCT,66634,NOV,66634,DEC,66634
SP0343,OCT,34217,NOV,34217,DEC,34217
SP0344,OCT,29833,NOV,29833,DEC,29833
SP0345,OCT,16300,NOV,16300,DEC,16300
SP0346,OCT,0,NOV,0,DEC,0
SP0347,OCT,150000,NOV,150000,DEC,150000
SP0351,OCT,102775,NOV,102775,DEC,102775
SP0352,OCT,128200,NOV,128200,DEC,128200
SP0353,OCT,152664,NOV,152664,DEC,152664
SP0355,OCT,47650,NOV,47650,DEC,47650
SP0357,OCT,44357,NOV,44357,DEC,44357
SP0361,OCT,51225,NOV,51225,DEC,51225
SP0362,OCT,43333,NOV,43333,DEC,43333
SP0363,OCT,31400,NOV,31400,DEC,31400
SP0365,OCT,10000,NOV,10000,DEC,10000
SP0368,OCT,5000,NOV,5000,DEC,5000
SP0369,OCT,16417,NOV,16417,DEC,16417
